,Image,Dice_reg,K,Model
297,327043651451092435505761971551575640871_3qwimg.png,0.9067452213690573,9,affine with kl
298,327043651451092435505761971551575640871_3qwimg.png,0.890971083932249,9,affine no kl
299,327043651451092435505761971551575640871_3qwimg.png,0.9108676826933702,9,affine frozen
300,1256842362861431725328351539259305635_u1qifz.png,0.8644815763760186,1,affine with kl
301,1256842362861431725328351539259305635_u1qifz.png,0.8440346089547256,1,affine no kl
302,1256842362861431725328351539259305635_u1qifz.png,0.8614250760284896,1,affine frozen
303,1256842362861431725328351539259305635_u1qifz.png,0.8933774166671089,3,affine with kl
304,1256842362861431725328351539259305635_u1qifz.png,0.8821235540187508,3,affine no kl
305,1256842362861431725328351539259305635_u1qifz.png,0.8809512808316913,3,affine frozen
306,1256842362861431725328351539259305635_u1qifz.png,0.8933774166671089,5,affine with kl
307,1256842362861431725328351539259305635_u1qifz.png,0.8821235540187508,5,affine no kl
308,1256842362861431725328351539259305635_u1qifz.png,0.8842019746299294,5,affine frozen
309,1256842362861431725328351539259305635_u1qifz.png,0.8933774166671089,7,affine with kl
310,1256842362861431725328351539259305635_u1qifz.png,0.8878096520226885,7,affine no kl
311,1256842362861431725328351539259305635_u1qifz.png,0.8842019746299294,7,affine frozen
312,1256842362861431725328351539259305635_u1qifz.png,0.9216379788465843,9,affine with kl
313,1256842362861431725328351539259305635_u1qifz.png,0.9188783732599908,9,affine no kl
314,1256842362861431725328351539259305635_u1qifz.png,0.9199109657267238,9,affine frozen
315,289108620230468119174968226927683707287_9wupg2.png,0.7723564238696632,1,affine with kl
316,289108620230468119174968226927683707287_9wupg2.png,0.7832179624461438,1,affine no kl
317,289108620230468119174968226927683707287_9wupg2.png,0.7894822410479436,1,affine frozen
318,289108620230468119174968226927683707287_9wupg2.png,0.8135461654276351,3,affine with kl
319,289108620230468119174968226927683707287_9wupg2.png,0.8284602829445844,3,affine no kl
320,289108620230468119174968226927683707287_9wupg2.png,0.8136510800912903,3,affine frozen
321,289108620230468119174968226927683707287_9wupg2.png,0.8135461654276351,5,affine with kl
322,289108620230468119174968226927683707287_9wupg2.png,0.8284602829445844,5,affine no kl
323,289108620230468119174968226927683707287_9wupg2.png,0.8136510800912903,5,affine frozen
324,289108620230468119174968226927683707287_9wupg2.png,0.8135461654276351,7,affine with kl
325,289108620230468119174968226927683707287_9wupg2.png,0.8284602829445844,7,affine no kl
326,289108620230468119174968226927683707287_9wupg2.png,0.8136510800912903,7,affine frozen
327,289108620230468119174968226927683707287_9wupg2.png,0.8135461654276351,9,affine with kl
328,289108620230468119174968226927683707287_9wupg2.png,0.8284602829445844,9,affine no kl
329,289108620230468119174968226927683707287_9wupg2.png,0.8136510800912903,9,affine frozen
330,199072368172967010909636348828886390156_co5vik.png,0.8558284477595558,1,affine with kl
331,199072368172967010909636348828886390156_co5vik.png,0.8497458328407613,1,affine no kl
332,199072368172967010909636348828886390156_co5vik.png,0.8677077985993699,1,affine frozen
333,199072368172967010909636348828886390156_co5vik.png,0.9124596989776906,3,affine with kl
334,199072368172967010909636348828886390156_co5vik.png,0.9106555744760403,3,affine no kl
335,199072368172967010909636348828886390156_co5vik.png,0.9199692305828624,3,affine frozen
336,199072368172967010909636348828886390156_co5vik.png,0.9223702654592547,5,affine with kl
